Date,Open,High,Low,Close
2013-04-15,136,136.75,130.509995,131.309998
2013-04-16,134.899994,135.110001,131.759995,132.800003
2013-04-17,133.809998,134.949997,132.320007,132.869995
2013-04-18,134.119995,135.309998,133.619995,134.300003
2013-04-19,136,136.020004,134.600006,135.470001
2013-04-22,138.149994,138.270004,137.220001,137.899994
2013-04-23,137.220001,137.240005,135.850006,136.880005
2013-04-24,138.089996,138.550003,137.449997,138.369995
2013-04-25,140,142.080002,139.789993,141.630005
2013-04-26,142.300003,143.429993,140.039993,140.910004
2013-04-29,142.130005,142.660004,141.490005,142.300003
2013-04-30,142.270004,142.830002,141.550003,142.770004
2013-05-01,140.589996,141.550003,139.300003,141.110001
2013-05-02,142,142.470001,141.639999,141.919998
2013-05-03,141.699997,142.710007,141.399994,142.089996
2013-05-06,142.330002,142.460007,141.630005,142.149994
2013-05-07,140.380005,140.639999,139.369995,140.380005
2013-05-08,141.779999,142.809998,141.490005,142.460007
2013-05-09,141.330002,142.360001,140.509995,140.809998
2013-05-10,138.220001,139.75,137.259995,139.600006
2013-05-13,138.460007,138.970001,138.160004,138.429993
2013-05-14,137.949997,139.160004,137.639999,137.809998
2013-05-15,136.589996,136.979996,134.229996,134.630005
2013-05-16,133.179993,134.479996,133,134.089996
2013-05-17,133.169998,133.479996,131.020004,131.070007
2013-05-20,130.880005,135.320007,130.850006,135.119995
2013-05-21,132.169998,133.649994,131.449997,132.880005
2013-05-22,134.179993,136.770004,130.949997,131.940002
2013-05-23,134.509995,134.839996,133.119995,134.610001
2013-05-24,134.110001,134.509995,133.639999,133.759995
2013-05-28,133.679993,135.570007,132.800003,133.490005
2013-05-29,134.089996,134.910004,133.639999,134.830002
2013-05-30,136.669998,137.110001,136.259995,136.699997
2013-05-31,135.710007,136.050003,133.889999,133.919998
2013-06-03,134.770004,136.979996,134.429993,136.509995
2013-06-04,135.210007,135.440002,134.270004,135.229996
2013-06-05,135.470001,136.369995,135.009995,135.520004
2013-06-06,135.389999,137.619995,134.979996,136.529999
2013-06-07,134.110001,134.619995,133.179993,133.279999
2013-06-10,133.300003,134.279999,132.990005,133.940002
2013-06-11,132.309998,133.509995,132.240005,133.25
2013-06-12,132.949997,134.830002,132.830002,134.25
2013-06-13,133.309998,134.199997,132.820007,133.740005
2013-06-14,134,134.600006,133.880005,134.429993
2013-06-17,133.889999,134.059998,133.520004,133.770004
2013-06-18,132.720001,132.960007,131.529999,132.130005
2013-06-19,132.580002,133.149994,130.380005,130.589996
2013-06-20,125.220001,126.379997,123.330002,123.599998
2013-06-21,125.160004,125.57,124.459999,125.050003
2013-06-24,124.309998,124.699997,123.309998,123.93
2013-06-25,123.650002,123.900002,122.879997,123.470001
2013-06-26,119.879997,119.900002,118.059998,118.279999
2013-06-27,119.099998,119.510002,115.650002,115.940002
2013-06-28,115.220001,119.330002,114.68,119.110001
2013-07-01,119.940002,121.949997,119.379997,121.129997
2013-07-02,121.339996,121.470001,119.779999,120.050003
2013-07-03,120.699997,121.769997,120.540001,120.739998
2013-07-05,118.080002,118.18,116.739998,118.089996
2013-07-08,119.089996,119.660004,118.93,119.510002
2013-07-09,120.839996,121.510002,120.050003,120.620003
2013-07-10,121.150002,122.349998,120.589996,120.949997
2013-07-11,124.260002,124.360001,123.470001,124.239998
2013-07-12,123.519997,124.300003,123.32,124.129997
2013-07-15,124.080002,124.389999,123.839996,124.18
2013-07-16,124.760002,125.209999,124.330002,124.889999
2013-07-17,125.040001,125.699997,122.730003,123.32
2013-07-18,124.110001,124.519997,123.779999,124.010002
2013-07-19,124.889999,125.419998,124.650002,125.110001
2013-07-22,127.650002,129.460007,127.589996,128.839996
2013-07-23,128.699997,130.139999,128.350006,129.710007
2013-07-24,129.169998,129.399994,126.870003,127.480003
2013-07-25,127.699997,128.869995,127.639999,128.669998
2013-07-26,128.110001,128.970001,126.779999,128.779999
2013-07-29,128.449997,128.779999,128.25,128.470001
2013-07-30,127.949997,128.309998,127.220001,128.119995
2013-07-31,127.760002,128.919998,126.129997,127.959999
2013-08-01,127.839996,127.889999,126.330002,126.610001
2013-08-02,126.739998,127.25,126.32,126.360001
2013-08-05,126.510002,126.639999,125.339996,125.699997
2013-08-06,124.330002,124.550003,123.550003,123.970001
2013-08-07,124,124.599998,123.849998,124.150002
2013-08-08,124.779999,126.989998,124.769997,126.860001
2013-08-09,126.510002,127.269997,126.300003,126.860001
2013-08-12,129.570007,129.710007,128.880005,129.130005
2013-08-13,128.490005,128.649994,127.379997,127.739998
2013-08-14,127.660004,129.070007,127.57,129
2013-08-15,128.059998,132.360001,127.980003,131.690002
2013-08-16,132.559998,133.270004,131.389999,132.580002
2013-08-19,132.330002,132.5,131.589996,132.009995
2013-08-20,132.029999,133.130005,132.020004,132.449997
2013-08-21,131.740005,133.229996,131.509995,132.070007
2013-08-22,132.559998,133.460007,132.270004,132.809998
2013-08-23,132.580002,135.240005,132.5,134.899994
2013-08-26,134.880005,135.600006,134.149994,135.449997
2013-08-27,136.940002,137.550003,136.520004,136.75
2013-08-28,137.210007,137.460007,136.660004,136.710007
2013-08-29,136.119995,136.550003,135.419998,135.869995
2013-08-30,134.649994,135.710007,134.440002,134.619995
2013-09-03,135.460007,136.789993,135.029999,136.419998
2013-09-04,134.610001,134.839996,133.720001,134.660004
2013-09-05,134.130005,134.350006,131.800003,132.199997
2013-09-06,133.419998,134.399994,133.330002,134.149994
2013-09-09,134.130005,134.320007,133.669998,133.910004
2013-09-10,131.820007,132,131.110001,131.740005
2013-09-11,131.580002,131.809998,131.259995,131.699997
2013-09-12,128.619995,128.779999,127.610001,127.669998
2013-09-13,127.160004,127.959999,126.209999,127.82
2013-09-16,127.480003,128.020004,126.330002,126.449997
2013-09-17,126.809998,126.989998,126.110001,126.5
2013-09-18,125.32,132.160004,125.150002,132.009995
2013-09-19,132,132.779999,131.220001,131.75
2013-09-20,130.600006,130.910004,127.900002,127.959999
2013-09-23,127.519997,128.440002,127.330002,127.550003
2013-09-24,126.400002,128.210007,126.339996,127.660004
2013-09-25,127.57,129.210007,127.519997,128.789993
2013-09-26,128.610001,128.990005,127.32,127.790001
2013-09-27,128.860001,129.580002,128.839996,128.970001
2013-09-30,127.949997,129.139999,127.699997,128.179993
2013-10-01,125.25,125.260002,123.809998,124.589996
2013-10-02,125.370003,127.809998,125.339996,127.059998
2013-10-03,126.769997,127.690002,126.220001,127.18
2013-10-04,127.050003,127.150002,126,126.529999
2013-10-07,127.25,128.330002,127.120003,127.639999
2013-10-08,127.790001,128.449997,127.209999,127.400002
2013-10-09,126.209999,126.889999,124.970001,126.110001
2013-10-10,125.339996,125.830002,124.099998,124.269997
2013-10-11,122.370003,122.809998,121.849998,122.599998
2013-10-14,123.900002,124.239998,122.809998,122.830002
2013-10-15,122.279999,124.360001,122.220001,123.730003
2013-10-16,123.519997,123.889999,122.510002,123.540001
2013-10-17,127.010002,127.860001,126.809998,127.419998
2013-10-18,126.870003,127.330002,126.599998,126.849998
2013-10-21,127.129997,127.339996,126.790001,126.980003
2013-10-22,128.25,129.809998,128.220001,129.339996
2013-10-23,128.550003,129.089996,128.350006,128.690002
2013-10-24,129.410004,130.529999,129.410004,129.899994
2013-10-25,129.529999,130.919998,129.460007,130.460007
2013-10-28,130.410004,131.440002,130.100006,130.559998
